序号,科目,资料层级,资料类型,规范文件名,目标路径,原文件名,来源路径,SHA256,大小MB
155,计算机组成原理,成品复习包,成品复习包,计算机组成原理_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/08_计算机组成原理/00_成品复习包/计算机组成原理_期末复习包.zip,计算机组成原理_期末复习包.zip,/Users/jerry/Desktop/期末复习/计算机组成原理_期末复习包.zip,未计算（大小唯一）,0.56
156,计算机组成原理,成品复习包,成品复习包,计算机组成原理_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/08_计算机组成原理/00_成品复习包/计算机组成原理_模拟卷一_含答案解析.pdf,计算机组成原理_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/计算机组成/计算机组成原理_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.15
157,计算机组成原理,成品复习包,成品复习包,计算机组成原理_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/08_计算机组成原理/00_成品复习包/计算机组成原理_模拟卷二_含答案解析.pdf,计算机组成原理_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/计算机组成/计算机组成原理_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.15
158,计算机组成原理,成品复习包,成品复习包,计算机组成原理_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/08_计算机组成原理/00_成品复习包/计算机组成原理_考前复习知识点讲义.pdf,计算机组成原理_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/计算机组成/计算机组成原理_考前复习知识点讲义.pdf,未计算（大小唯一）,0.27
159,计算机网络,原始资料,模拟卷,计算机网络-sample.pdf,/Users/jerry/Desktop/期末复习/资料库/07_计算机网络/02_原始资料/01_样卷与真题/计算机网络-sample.pdf,计算机网络-sample.pdf,/Users/jerry/Desktop/期末复习/计算机网络/源文件/计算机网络-sample.pdf,未计算（大小唯一）,1.12
160,计算机网络,成品复习包,成品复习包,计算机网络_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/07_计算机网络/00_成品复习包/计算机网络_期末复习包.zip,计算机网络_期末复习包.zip,/Users/jerry/Desktop/期末复习/计算机网络_期末复习包.zip,未计算（大小唯一）,0.51
161,计算机网络,成品复习包,成品复习包,计算机网络_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/07_计算机网络/00_成品复习包/计算机网络_模拟卷一_含答案解析.pdf,计算机网络_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/计算机网络/计算机网络_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.14
162,计算机网络,成品复习包,成品复习包,计算机网络_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/07_计算机网络/00_成品复习包/计算机网络_模拟卷二_含答案解析.pdf,计算机网络_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/计算机网络/计算机网络_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.14
163,计算机网络,成品复习包,成品复习包,计算机网络_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/07_计算机网络/00_成品复习包/计算机网络_考前复习知识点讲义.pdf,计算机网络_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/计算机网络/计算机网络_考前复习知识点讲义.pdf,未计算（大小唯一）,0.24
164,资料库模板,模板,本地TeX模板,Jerry_知识点复习讲义_LaTeX模板.tex,/Users/jerry/Desktop/期末复习/资料库/00_模板/本地TeX模板/Jerry_知识点复习讲义_LaTeX模板.tex,Jerry_知识点复习讲义_LaTeX模板.tex,/Users/jerry/Desktop/期末复习/模版/Jerry_知识点复习讲义_LaTeX模板.tex,未计算（大小唯一）,0.01
165,资料库模板,模板,本地TeX模板,期末模拟卷_统一格式模板.tex,/Users/jerry/Desktop/期末复习/资料库/00_模板/本地TeX模板/期末模拟卷_统一格式模板.tex,期末模拟卷_统一格式模板.tex,/Users/jerry/Desktop/期末复习/模版/期末模拟卷_统一格式模板.tex,未计算（大小唯一）,0.01
166,软件工程,原始资料,压缩包,软件工程-课件.zip,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/02_原始资料/99_压缩包/软件工程-课件.zip,软件工程-课件.zip,/Users/jerry/Desktop/期末复习/软件工程/源文件/软件工程-课件.zip,未计算（大小唯一）,94.55
167,软件工程,原始资料,图片资料,软件工程_图片资料_28DF7B64E7A9C9D6A649534467F14C54.png,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/02_原始资料/98_图片资料/软件工程_图片资料_28DF7B64E7A9C9D6A649534467F14C54.png,28DF7B64E7A9C9D6A649534467F14C54.PNG,/Users/jerry/Desktop/期末复习/软件工程/源文件/28DF7B64E7A9C9D6A649534467F14C54.PNG,未计算（大小唯一）,0.21
168,软件工程,原始资料,图片资料,软件工程_图片资料_B194F1DC15AEAFF3BCCA084A47096604.png,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/02_原始资料/98_图片资料/软件工程_图片资料_B194F1DC15AEAFF3BCCA084A47096604.png,B194F1DC15AEAFF3BCCA084A47096604.PNG,/Users/jerry/Desktop/期末复习/软件工程/源文件/B194F1DC15AEAFF3BCCA084A47096604.PNG,未计算（大小唯一）,0.18
169,软件工程,原始资料,图片资料,软件工程_图片资料_E333927C283DB3756EE23A968C84926F.png,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/02_原始资料/98_图片资料/软件工程_图片资料_E333927C283DB3756EE23A968C84926F.png,E333927C283DB3756EE23A968C84926F.PNG,/Users/jerry/Desktop/期末复习/软件工程/源文件/E333927C283DB3756EE23A968C84926F.PNG,未计算（大小唯一）,0.23
170,软件工程,成品复习包,成品复习包,软件工程_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/00_成品复习包/软件工程_期末复习包.zip,软件工程_期末复习包.zip,/Users/jerry/Desktop/期末复习/软件工程_期末复习包.zip,未计算（大小唯一）,0.65
171,软件工程,成品复习包,成品复习包,软件工程_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/00_成品复习包/软件工程_模拟卷一_含答案解析.pdf,软件工程_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/软件工程/软件工程_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.16
172,软件工程,成品复习包,成品复习包,软件工程_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/00_成品复习包/软件工程_模拟卷二_含答案解析.pdf,软件工程_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/软件工程/软件工程_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.16
173,软件工程,成品复习包,成品复习包,软件工程_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/09_软件工程/00_成品复习包/软件工程_考前复习知识点讲义.pdf,软件工程_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/软件工程/软件工程_考前复习知识点讲义.pdf,未计算（大小唯一）,0.33
174,面向对象程序设计Java,原始资料,源文件,面向对象程序设计Java_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/90_源文件/面向对象程序设计Java_考前复习知识点讲义.tex,面向对象程序设计_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/面向对象程序设计Java/源文件/面向对象程序设计_考前复习知识点讲义.tex,未计算（大小唯一）,0.02
175,面向对象程序设计Java,原始资料,真题,Java真题.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/Java真题.pdf,Java真题.pdf,/Users/jerry/Downloads/复习/Java真题.pdf,未计算（大小唯一）,0.59
176,面向对象程序设计Java,原始资料,真题,Java程序设计2022-2023期末试卷.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/Java程序设计2022-2023期末试卷.pdf,Java程序设计2022-2023期末试卷.pdf,/Users/jerry/Downloads/复习/Java程序设计2022-2023期末试卷.pdf,未计算（大小唯一）,0.19
177,面向对象程序设计Java,原始资料,真题,Java程序设计真题整理.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/Java程序设计真题整理.pdf,Java程序设计真题整理.pdf,/Users/jerry/Desktop/期末复习/面向对象程序设计Java/源文件/Java程序设计真题整理.pdf,91155b8a9531b6a5084a35a5040e0504ae8efb78f5eda4fc695a3b239d64922d,0.18
178,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_2010-2011第一学期Java程序设计A卷.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_2010-2011第一学期Java程序设计A卷.pdf,2010-2011第一学期java程序设计A卷.pdf,/Users/jerry/Downloads/复习/2010-2011第一学期java程序设计A卷.pdf,未计算（大小唯一）,0.29
179,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_2012-2013第一学期Java程序设计A卷.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_2012-2013第一学期Java程序设计A卷.pdf,2012-2013第一学期java程序设计A卷.pdf,/Users/jerry/Downloads/复习/2012-2013第一学期java程序设计A卷.pdf,未计算（大小唯一）,0.27
180,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_2012-2013第一学期Java程序设计B卷.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_2012-2013第一学期Java程序设计B卷.pdf,2012-2013第一学期java程序设计B卷.pdf,/Users/jerry/Downloads/复习/2012-2013第一学期java程序设计B卷.pdf,未计算（大小唯一）,0.30
181,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_Java-24真题.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_Java-24真题.pdf,Java-24真题.pdf,/Users/jerry/Desktop/期末复习/面向对象程序设计Java/源文件/Java-24真题.pdf,ba851844a16f5a2635a0ccc21b4264647cdf502213390497df1b45beea5dc053,5.34
182,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_Java程序设计2023-2024.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_Java程序设计2023-2024.pdf,Java程序设计2023-2024.pdf,/Users/jerry/Downloads/复习/Java程序设计2023-2024.pdf,未计算（大小唯一）,0.22
183,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_Java练习题1.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_Java练习题1.pdf,java练习题1.pdf,/Users/jerry/Downloads/复习/23年真题/java练习题1.pdf,未计算（大小唯一）,0.59
184,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_Java语言程序设计2022-2023.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_Java语言程序设计2022-2023.pdf,Java语言程序设计2022-2023.pdf,/Users/jerry/Downloads/复习/Java语言程序设计2022-2023.pdf,未计算（大小唯一）,0.13
185,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_Java语言程序设计2023-2024.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_Java语言程序设计2023-2024.pdf,Java语言程序设计2023-2024.pdf,/Users/jerry/Downloads/复习/Java语言程序设计2023-2024.pdf,未计算（大小唯一）,0.09
186,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_Java面向对象程序设计.docx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_Java面向对象程序设计.docx,Java面向对象程序设计.docx,/Users/jerry/Downloads/复习/23年真题/Java面向对象程序设计.docx,未计算（大小唯一）,0.13
187,面向对象程序设计Java,原始资料,真题,面向对象程序设计Java_真题_软件学院Java期末考试.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/01_样卷与真题/面向对象程序设计Java_真题_软件学院Java期末考试.pdf,软件学院Java期末考试.pdf,/Users/jerry/Downloads/复习/软件学院Java期末考试.pdf,未计算（大小唯一）,3.14
188,面向对象程序设计Java,原始资料,笔记总结,Java期末复习参考.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/05_笔记与总结/Java期末复习参考.pdf,Java期末复习参考.pdf,/Users/jerry/Downloads/大一下期末/Java期末复习参考.pdf,未计算（大小唯一）,1.63
189,面向对象程序设计Java,原始资料,笔记总结,面向对象程序设计Java_笔记总结_Java复习参考.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/05_笔记与总结/面向对象程序设计Java_笔记总结_Java复习参考.pdf,Java复习参考.pdf,/Users/jerry/Downloads/复习/Java复习参考.pdf,未计算（大小唯一）,0.23
190,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第1章Java概述.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第1章Java概述.pptx,第1章 Java概述.pptx,/Users/jerry/Downloads/复习/第1章 Java概述.pptx,未计算（大小唯一）,2.42
191,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第2章Java语法基础.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第2章Java语法基础.pptx,第2章 Java语法基础.pptx,/Users/jerry/Downloads/复习/第2章 Java语法基础.pptx,未计算（大小唯一）,1.42
192,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第3章面向对象基础.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第3章面向对象基础.pptx,第3章 面向对象基础.pptx,/Users/jerry/Downloads/复习/第3章 面向对象基础.pptx,未计算（大小唯一）,3.28
193,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第4章面向对象高级技术.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第4章面向对象高级技术.pptx,第4章 面向对象高级技术.pptx,/Users/jerry/Downloads/复习/第4章 面向对象高级技术.pptx,未计算（大小唯一）,3.23
194,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第5章JavaAPI.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第5章JavaAPI.pptx,第5章 Java API.pptx,/Users/jerry/Downloads/复习/第5章 Java API.pptx,未计算（大小唯一）,4.01
195,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第6章异常处理机制.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第6章异常处理机制.pptx,第6章 异常处理机制.pptx,/Users/jerry/Downloads/复习/第6章 异常处理机制.pptx,未计算（大小唯一）,1.29
196,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第7章JavaIO流.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第7章JavaIO流.pptx,第7章 Java IO流.pptx,/Users/jerry/Downloads/复习/第7章 Java IO流.pptx,未计算（大小唯一）,2.83
197,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第8章多线程.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第8章多线程.pptx,第8章 多线程.pptx,/Users/jerry/Downloads/复习/第8章 多线程.pptx,未计算（大小唯一）,3.17
198,面向对象程序设计Java,原始资料,课件,面向对象程序设计Java_课件_第9章JavaGUI编程.pptx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/02_课件/面向对象程序设计Java_课件_第9章JavaGUI编程.pptx,第9章 Java GUI编程.pptx,/Users/jerry/Downloads/复习/第9章 Java GUI编程.pptx,未计算（大小唯一）,1.72
199,面向对象程序设计Java,原始资料,题库练习,面向对象程序设计Java_题库练习_Java复习题.docx,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/03_题库与练习/面向对象程序设计Java_题库练习_Java复习题.docx,Java复习题.docx,/Users/jerry/Downloads/复习/Java复习题.docx,未计算（大小唯一）,0.02
200,面向对象程序设计Java,原始资料,题库练习,面向对象程序设计Java_题库练习_Java选择题题库.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/03_题库与练习/面向对象程序设计Java_题库练习_Java选择题题库.pdf,java选择题题库.pdf,/Users/jerry/Downloads/复习/java选择题题库.pdf,未计算（大小唯一）,0.28
201,面向对象程序设计Java,原始资料,题库练习,面向对象程序设计Java_题库练习_Java重要编程题.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/03_题库与练习/面向对象程序设计Java_题库练习_Java重要编程题.pdf,JAVA重要编程题.pdf,/Users/jerry/Downloads/复习/JAVA重要编程题.pdf,未计算（大小唯一）,0.29
202,面向对象程序设计Java,原始资料,题库练习,面向对象程序设计Java_题库练习_编程题目.txt,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/02_原始资料/03_题库与练习/面向对象程序设计Java_题库练习_编程题目.txt,编程题目.txt,/Users/jerry/Downloads/复习/编程题目.txt,未计算（大小唯一）,0.01
203,面向对象程序设计Java,成品复习包,成品复习包,面向对象程序设计Java_期末复习包.zip,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/00_成品复习包/面向对象程序设计Java_期末复习包.zip,面向对象程序设计Java.zip,/Users/jerry/Desktop/期末复习/面向对象程序设计Java.zip,未计算（大小唯一）,5.22
204,面向对象程序设计Java,成品复习包,成品复习包,面向对象程序设计Java_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/00_成品复习包/面向对象程序设计Java_模拟卷一_含答案解析.pdf,面向对象程序设计_模拟卷一_含答案解析.pdf,/Users/jerry/Desktop/期末复习/面向对象程序设计Java/面向对象程序设计_模拟卷一_含答案解析.pdf,未计算（大小唯一）,0.18
205,面向对象程序设计Java,成品复习包,成品复习包,面向对象程序设计Java_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/00_成品复习包/面向对象程序设计Java_模拟卷二_含答案解析.pdf,面向对象程序设计_模拟卷二_含答案解析.pdf,/Users/jerry/Desktop/期末复习/面向对象程序设计Java/面向对象程序设计_模拟卷二_含答案解析.pdf,未计算（大小唯一）,0.17
206,面向对象程序设计Java,成品复习包,成品复习包,面向对象程序设计Java_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/00_成品复习包/面向对象程序设计Java_考前复习知识点讲义.pdf,面向对象程序设计_考前复习知识点讲义.pdf,/Users/jerry/Desktop/期末复习/面向对象程序设计Java/面向对象程序设计_考前复习知识点讲义.pdf,未计算（大小唯一）,0.24
207,面向对象程序设计Java,知识点库,知识点库,Java期末复习参考.md,/Users/jerry/Desktop/期末复习/资料库/04_面向对象程序设计Java/01_知识点库/Java期末复习参考.md,Java期末复习参考.md,/Users/jerry/Downloads/大一下期末/Java期末复习参考.md,未计算（大小唯一）,0.02
208,高等数学A（二）,原始资料,压缩包,高数.zip,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/99_压缩包/高数.zip,高数.zip,/Users/jerry/Downloads/复习/高数.zip,未计算（大小唯一）,32.67
209,高等数学A（二）,原始资料,教材题解,高数下册(同济六版)复习资料.doc,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/04_教材与题解/高数下册(同济六版)复习资料.doc,高数下册(同济六版)复习资料.doc,/Users/jerry/Downloads/复习/高数下册(同济六版)复习资料.doc,未计算（大小唯一）,0.71
210,高等数学A（二）,原始资料,源文件,高等数学A（二）_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/90_源文件/高等数学A（二）_考前复习知识点讲义.tex,高等数学A（二）_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/高等数学A（二）/源文件/高等数学A（二）_考前复习知识点讲义.tex,未计算（大小唯一）,0.02
211,高等数学A（二）,原始资料,真题,高等数学A（二）_真题_2019-2020期末卷_合集含A-B卷.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/01_样卷与真题/高等数学A（二）_真题_2019-2020期末卷_合集含A-B卷.pdf,高数下-往年真题.pdf,/Users/jerry/Downloads/大一下期末/高数下-往年真题.pdf,4fe76596a13818f5df9fbe20e7f9b3a3fffa945723547f9f55ca1a4209aa5684,5.41
212,高等数学A（二）,原始资料,真题,高等数学A（二）_真题_2022-2023期末卷_A卷.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/01_样卷与真题/高等数学A（二）_真题_2022-2023期末卷_A卷.pdf,高数题（较新）.pdf,/Users/jerry/Downloads/复习/高数题（较新）.pdf,未计算（大小唯一）,0.45
213,高等数学A（二）,原始资料,真题,高等数学A（二）_真题_2024-2025期末卷_A卷.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/01_样卷与真题/高等数学A（二）_真题_2024-2025期末卷_A卷.pdf,2024-2025期末卷.pdf,/Users/jerry/Downloads/大一下期末/2024-2025期末卷.pdf,未计算（大小唯一）,0.36
214,高等数学A（二）,原始资料,真题,高等数学A（二）_真题_软件学院23级高数(二).pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/01_样卷与真题/高等数学A（二）_真题_软件学院23级高数(二).pdf,软件学院  23级高数（二） (1).pdf,/Users/jerry/Downloads/大一下期末/软件学院  23级高数（二） (1).pdf,b4e236e88f7581dad4e1e7f689a463d036df71be0a3eb5f7a0d99b734be19949,0.17
215,高等数学A（二）,原始资料,笔记总结,微分方程自总结V3.pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/05_笔记与总结/微分方程自总结V3.pdf,微分方程自总结V3.pdf,/Users/jerry/Downloads/大一下期末/微分方程自总结V3.pdf,f31de526725ded060e6ee62c7a4afa408165499512c870add8815189004b1e28,1.22
216,高等数学A（二）,原始资料,笔记总结,高等数学A（二）_笔记总结_微分方程.docx,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/05_笔记与总结/高等数学A（二）_笔记总结_微分方程.docx,微分方程.docx,/Users/jerry/Downloads/复习/高数/微分方程.docx,未计算（大小唯一）,0.86
217,高等数学A（二）,原始资料,笔记总结,高等数学A（二）_笔记总结_高等数学A(二).pdf,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/05_笔记与总结/高等数学A（二）_笔记总结_高等数学A(二).pdf,高等数学A（二）.pdf,/Users/jerry/Downloads/复习/高等数学A（二）.pdf,未计算（大小唯一）,0.38
218,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_7-5可降阶高阶方程.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_7-5可降阶高阶方程.ppt,7-5可降阶高阶方程.ppt,/Users/jerry/Downloads/复习/高数/7-5可降阶高阶方程.ppt,未计算（大小唯一）,1.72
219,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_8-1向量及其线性运算.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_8-1向量及其线性运算.ppt,8-1向量及其线性运算(1).ppt,/Users/jerry/Downloads/复习/高数/8-1向量及其线性运算(1).ppt,未计算（大小唯一）,2.71
220,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_8-2点积叉积.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_8-2点积叉积.ppt,8-2点积叉积(1).ppt,/Users/jerry/Downloads/复习/高数/8-2点积叉积(1).ppt,未计算（大小唯一）,2.51
221,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_8-3平面方程.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_8-3平面方程.ppt,8-3平面方程(1).ppt,/Users/jerry/Downloads/复习/高数/8-3平面方程(1).ppt,未计算（大小唯一）,2.03
222,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_8-4空间直线.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_8-4空间直线.ppt,8-4空间直线.ppt,/Users/jerry/Downloads/复习/高数/8-4空间直线.ppt,未计算（大小唯一）,2.50
223,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_8-5曲面及其方程.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_8-5曲面及其方程.ppt,8-5曲面及其方程(1).ppt,/Users/jerry/Downloads/复习/高数/8-5曲面及其方程(1).ppt,未计算（大小唯一）,3.07
224,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_8-6空间曲线.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_8-6空间曲线.ppt,8-6空间曲线(1).ppt,/Users/jerry/Downloads/复习/高数/8-6空间曲线(1).ppt,未计算（大小唯一）,1.42
225,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D10-1二重积分概念.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D10-1二重积分概念.ppt,D10-1二重积分概念.ppt,/Users/jerry/Downloads/复习/高数/D10-1二重积分概念.ppt,未计算（大小唯一）,2.21
226,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D10-2二重积分计算.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D10-2二重积分计算.ppt,D10-2二重积分计算.ppt,/Users/jerry/Downloads/复习/高数/D10-2二重积分计算.ppt,未计算（大小唯一）,3.04
227,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D10-3三重积分(2).ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D10-3三重积分(2).ppt,D10-3三重积分(2).ppt,/Users/jerry/Downloads/复习/高数/D10-3三重积分(2).ppt,未计算（大小唯一）,2.04
228,高等数学A（二）,原始资料,课件,高等数学A（二）_课件_D10-3三重积分.ppt,/Users/jerry/Desktop/期末复习/资料库/01_高等数学A（二）/02_原始资料/02_课件/高等数学A（二）_课件_D10-3三重积分.ppt,D10-3三重积分(1).ppt,/Users/jerry/Downloads/复习/高数/D10-3三重积分(1).ppt,未计算（大小唯一）,2.17
